,from,to,intensity.max,intensity.average,intensity.min,intensity.index
86,2023-10-29T20:33Z,2023-10-30T20:33Z,226,147,62,moderate
87,2023-10-30T20:33Z,2023-10-31T20:33Z,208,163,100,moderate
88,2023-10-31T20:33Z,2023-11-01T20:33Z,162,84,49,low
89,2023-11-01T20:33Z,2023-11-02T20:33Z,122,86,51,low
90,2023-11-03T20:33Z,2023-11-04T20:33Z,194,159,117,moderate
91,2023-11-04T20:33Z,2023-11-05T20:33Z,196,159,114,moderate
92,2023-11-05T20:33Z,2023-11-06T20:33Z,181,139,96,moderate
93,2023-11-06T20:33Z,2023-11-07T20:33Z,211,136,77,moderate
94,2023-11-07T20:33Z,2023-11-08T20:33Z,181,121,69,moderate
95,2023-11-08T20:33Z,2023-11-09T20:33Z,206,154,82,moderate
96,2023-11-09T20:33Z,2023-11-10T20:33Z,230,172,110,moderate
97,2023-11-10T20:33Z,2023-11-11T20:33Z,267,172,96,moderate
98,2023-11-11T20:33Z,2023-11-12T20:33Z,257,197,165,moderate
99,2023-11-12T20:33Z,2023-11-13T20:33Z,156,98,75,low
100,2023-11-13T20:33Z,2023-11-14T20:33Z,196,136,65,moderate
101,2023-11-14T20:33Z,2023-11-15T20:33Z,265,148,62,moderate
102,2023-11-15T20:33Z,2023-11-16T20:33Z,299,282,260,high
103,2023-11-16T20:33Z,2023-11-17T20:33Z,307,275,242,high
104,2023-11-17T20:33Z,2023-11-18T20:33Z,267,101,59,low
105,2023-11-18T20:33Z,2023-11-19T20:33Z,150,91,56,low
106,2023-11-19T20:33Z,2023-11-20T20:33Z,247,167,68,moderate
107,2023-11-20T20:33Z,2023-11-21T20:33Z,260,204,114,high
108,2023-11-21T20:33Z,2023-11-22T20:33Z,255,173,93,moderate
109,2023-11-22T20:33Z,2023-11-23T20:33Z,103,79,56,low
110,2023-11-23T20:33Z,2023-11-24T20:33Z,161,95,57,low
111,2023-11-24T20:33Z,2023-11-25T20:33Z,229,155,97,moderate
112,2023-11-25T20:33Z,2023-11-26T20:33Z,257,232,206,high
113,2023-11-26T20:33Z,2023-11-27T20:33Z,259,207,167,high
114,2023-11-27T20:33Z,2023-11-28T20:33Z,267,202,114,high
115,2023-11-28T20:33Z,2023-11-29T20:33Z,286,237,157,high
116,2023-11-29T20:33Z,2023-11-30T20:33Z,285,267,253,high
117,2023-11-30T20:33Z,2023-12-01T20:33Z,293,281,263,high
118,2023-12-01T20:33Z,2023-12-02T20:33Z,309,285,265,high
119,2023-12-02T20:33Z,2023-12-03T20:33Z,279,217,176,high
120,2023-12-31T20:33Z,2024-01-01T20:33Z,116,76,46,low
121,2024-01-01T20:33Z,2024-01-02T20:33Z,154,100,41,low
