,from,to,intensity.max,intensity.average,intensity.min,intensity.index
85,2023-11-22T00:00Z,2023-11-23T00:00Z,197,151,56,moderate
86,2023-11-23T00:00Z,2023-11-24T00:00Z,103,78,56,low
87,2023-11-24T00:00Z,2023-11-25T00:00Z,161,105,58,low
88,2023-11-25T00:00Z,2023-11-26T00:00Z,229,168,97,moderate
89,2023-11-26T00:00Z,2023-11-27T00:00Z,257,230,181,high
90,2023-11-27T00:00Z,2023-11-28T00:00Z,259,196,114,moderate
91,2023-11-28T00:00Z,2023-11-29T00:00Z,267,212,115,high
92,2023-11-29T00:00Z,2023-11-30T00:00Z,286,249,157,high
93,2023-11-30T00:00Z,2023-12-01T00:00Z,287,268,253,high
94,2023-12-01T00:00Z,2023-12-02T00:00Z,304,284,263,high
95,2023-12-02T00:00Z,2023-12-03T00:00Z,309,278,219,high
96,2023-12-03T00:00Z,2023-12-04T00:00Z,246,207,144,high
97,2023-12-04T00:00Z,2023-12-05T00:00Z,214,177,108,moderate
98,2023-12-05T00:00Z,2023-12-06T00:00Z,266,215,109,high
99,2023-12-06T00:00Z,2023-12-07T00:00Z,281,244,146,high
100,2023-12-07T00:00Z,2023-12-08T00:00Z,180,151,86,moderate
101,2023-12-08T00:00Z,2023-12-09T00:00Z,229,156,45,moderate
102,2023-12-09T00:00Z,2023-12-10T00:00Z,101,62,38,low
103,2023-12-10T00:00Z,2023-12-11T00:00Z,129,96,58,low
104,2023-12-11T00:00Z,2023-12-12T00:00Z,242,177,62,moderate
105,2023-12-12T00:00Z,2023-12-13T00:00Z,246,194,112,moderate
106,2023-12-13T00:00Z,2023-12-14T00:00Z,229,192,129,moderate
107,2023-12-14T00:00Z,2023-12-15T00:00Z,238,201,128,high
108,2023-12-15T00:00Z,2023-12-16T00:00Z,208,153,62,moderate
109,2023-12-16T00:00Z,2023-12-17T00:00Z,91,71,56,low
110,2023-12-17T00:00Z,2023-12-18T00:00Z,82,63,48,low
111,2023-12-18T00:00Z,2023-12-19T00:00Z,137,107,63,low
112,2023-12-19T00:00Z,2023-12-20T00:00Z,158,113,54,low
113,2023-12-20T00:00Z,2023-12-21T00:00Z,69,52,38,low
114,2023-12-21T00:00Z,2023-12-22T00:00Z,64,47,34,low
115,2023-12-22T00:00Z,2023-12-23T00:00Z,71,51,36,low
116,2023-12-23T00:00Z,2023-12-24T00:00Z,60,46,29,low
117,2023-12-24T00:00Z,2023-12-25T00:00Z,57,44,31,low
118,2023-12-25T00:00Z,2023-12-26T00:00Z,81,56,40,low
119,2023-12-26T00:00Z,2023-12-27T00:00Z,190,101,54,low
120,2023-12-27T00:00Z,2023-12-28T00:00Z,71,46,29,low
121,2023-12-28T00:00Z,2023-12-29T00:00Z,54,39,26,very low
122,2023-12-29T00:00Z,2023-12-30T00:00Z,79,53,41,low
123,2023-12-31T00:00Z,2024-01-01T00:00Z,63,63,63,low
